,City_Name,Lat,Lon,Max_Temp,Humidity,Clouds,Wind_Speed,Country,Date
337,Hohhot,40.81,111.65,30.2,68,0,4.47,CN,1602534491
338,Izberbash,42.57,47.86,55.4,87,0,11.18,RU,1602534491
339,Talnakh,69.49,88.4,28.4,92,40,20.13,RU,1602534491
340,Katsuura,35.13,140.3,71.01,100,75,5.73,JP,1602534491
341,Lázaro Cárdenas,17.96,-102.2,86.99,62,31,7.52,MX,1602534492
342,Anjiang,27.32,110.1,62.56,87,37,2.68,CN,1602534492
343,Ilulissat,69.22,-51.1,33.8,69,75,6.93,GL,1602534341
344,Broome,42.25,-75.83,51.01,81,90,11.41,US,1602534492
345,Nishihara,26.18,127.76,77.0,78,40,8.05,JP,1602534492
346,Korla,41.76,86.15,48.85,46,56,5.32,CN,1602534492
347,Derzhavīnsk,51.1,66.32,47.05,61,68,5.03,KZ,1602534493
348,Sásd,46.26,18.11,46.4,85,100,9.62,HU,1602534493
349,Rocha,-34.48,-54.33,59.36,78,50,15.1,UY,1602534493
350,Turukhansk,65.82,87.98,22.82,97,100,12.12,RU,1602534493
351,Kinablangan,7.69,126.55,79.03,80,97,4.9,PH,1602534493
352,Hargeisa,9.56,44.06,71.26,51,0,8.14,SO,1602534493
353,Glenwood Springs,39.55,-107.32,64.99,33,1,14.99,US,1602534410
354,College,64.86,-147.8,28.4,46,75,9.17,US,1602534494
355,Malakal,9.53,31.66,74.64,82,3,2.57,SS,1602534494
356,Yellandu,17.6,80.33,74.05,97,100,5.35,IN,1602534494
357,Codrington,-38.27,141.97,53.87,85,100,9.84,AU,1602534494
358,Los Llanos de Aridane,28.66,-17.92,75.2,78,91,11.41,ES,1602534494
359,Todos Santos,23.45,-110.22,79.0,87,100,1.01,MX,1602534494
360,Kristoni,40.96,22.86,70.0,82,16,8.99,GR,1602534494
361,Blagaj,43.26,17.89,50.0,81,90,14.99,BA,1602534495
362,Lagoa,39.05,-27.98,68.76,73,16,17.83,PT,1602534495
363,Pevek,69.7,170.31,24.94,95,100,11.77,RU,1602534476
364,Chernyshevskiy,63.01,112.47,21.96,97,93,9.64,RU,1602534495
365,Ust-Tsilma,65.44,52.15,42.55,95,100,3.67,RU,1602534495
366,Neiafu,-18.65,-173.98,77.0,69,75,13.87,TO,1602534495
